Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,9.098000,9.115000,8.975500,9.000000,9.000000,69038000
2011-01-03,9.068500,9.300000,9.060500,9.211000,9.211000,106628000
2011-01-04,9.307500,9.385000,9.189000,9.250500,9.250500,100636000
2011-01-05,9.205000,9.372500,9.203500,9.371000,9.371000,68376000
2011-01-06,9.325000,9.370500,9.262500,9.293000,9.293000,63594000
2011-01-07,9.394000,9.422500,9.187000,9.274500,9.274500,104434000
2011-01-10,9.252000,9.264500,9.125500,9.234000,9.234000,67518000
2011-01-11,9.271000,9.300000,9.160500,9.217000,9.217000,56284000
2011-01-12,9.268000,9.269000,9.165000,9.204000,9.204000,53582000
2011-01-13,9.180000,9.322500,9.175500,9.276500,9.276500,67340000
2011-01-14,9.275000,9.447000,9.246000,9.437500,9.437500,73256000
2011-01-18,9.433000,9.580000,9.412500,9.562500,9.562500,77924000
2011-01-19,9.545000,9.550000,9.310500,9.343500,9.343500,77648000
2011-01-20,9.264500,9.342500,9.050000,9.098000,9.098000,114198000
2011-01-21,9.150000,9.162500,8.842000,8.871000,8.871000,136124000
2011-01-24,8.897500,8.924500,8.707500,8.842500,8.842500,112006000
2011-01-25,8.775000,8.837500,8.714000,8.835000,8.835000,93020000
2011-01-26,8.875500,8.894500,8.731500,8.769500,8.769500,75244000
2011-01-27,8.874000,9.250000,8.865500,9.222500,9.222500,291888000
2011-01-28,8.572500,8.685500,8.345000,8.557000,8.557000,398164000
2011-01-31,8.508000,8.572000,8.370500,8.482000,8.482000,134362000
2011-02-01,8.526000,8.655000,8.475500,8.605500,8.605500,101718000
2011-02-02,8.571000,8.760000,8.543500,8.676500,8.676500,90950000
2011-02-03,8.675000,8.733500,8.597500,8.685500,8.685500,73578000
2011-02-04,8.700000,8.859500,8.687500,8.796500,8.796500,86956000
2011-02-07,8.807500,8.877500,8.738500,8.821500,8.821500,105094000
2011-02-08,8.833000,9.155500,8.829500,9.153000,9.153000,155898000
2011-02-09,9.157500,9.323500,9.113000,9.265000,9.265000,166254000
2011-02-10,9.219500,9.362000,9.180000,9.310500,9.310500,106628000
2011-02-11,9.278000,9.475000,9.268500,9.462500,9.462500,89758000
2011-02-14,9.462500,9.570000,9.417500,9.521000,9.521000,81226000
2011-02-15,9.436500,9.524500,9.412500,9.451500,9.451500,77818000
2011-02-16,9.488500,9.500000,9.317500,9.331000,9.331000,92564000
2011-02-17,9.288500,9.454500,9.265500,9.388000,9.388000,68510000
