DATE,DGS6MO
2019-06-26,2.12
2019-06-27,2.12
2019-06-28,2.09
2019-07-01,2.10
2019-07-02,2.09
2019-07-03,2.08
2019-07-04,.
2019-07-05,2.14
2019-07-08,2.14
2019-07-09,2.15
2019-07-10,2.07
2019-07-11,2.08
2019-07-12,2.07
2019-07-15,2.06
2019-07-16,2.06
2019-07-17,2.04
2019-07-18,2.01
2019-07-19,2.03
2019-07-22,2.08
2019-07-23,2.09
2019-07-24,2.08
2019-07-25,2.08
2019-07-26,2.10
2019-07-29,2.10
2019-07-30,2.07
2019-07-31,2.10
2019-08-01,2.04
2019-08-02,2.02
2019-08-05,1.99
2019-08-06,2.00
2019-08-07,1.95
2019-08-08,1.96
2019-08-09,1.95
2019-08-12,1.94
2019-08-13,1.96
2019-08-14,1.92
2019-08-15,1.86
2019-08-16,1.85
2019-08-19,1.90
2019-08-20,1.89
2019-08-21,1.90
2019-08-22,1.91
2019-08-23,1.87
2019-08-26,1.90
2019-08-27,1.94
2019-08-28,1.89
2019-08-29,1.89
2019-08-30,1.89
2019-09-02,.
2019-09-03,1.88
2019-09-04,1.87
2019-09-05,1.88
2019-09-06,1.88
2019-09-09,1.87
2019-09-10,1.89
2019-09-11,1.88
2019-09-12,1.90
2019-09-13,1.92
2019-09-16,1.93
2019-09-17,1.93
2019-09-18,1.91
2019-09-19,1.92
2019-09-20,1.91
2019-09-23,1.93
2019-09-24,1.91
2019-09-25,1.90
2019-09-26,1.88
2019-09-27,1.85
2019-09-30,1.83
2019-10-01,1.81
2019-10-02,1.75
2019-10-03,1.66
2019-10-04,1.65
2019-10-07,1.73
2019-10-08,1.69
2019-10-09,1.69
2019-10-10,1.68
2019-10-11,1.68
2019-10-14,.
2019-10-15,1.67
2019-10-16,1.64
2019-10-17,1.63
2019-10-18,1.63
2019-10-21,1.65
2019-10-22,1.64
2019-10-23,1.64
2019-10-24,1.65
2019-10-25,1.66
2019-10-28,1.65
2019-10-29,1.64
2019-10-30,1.62
2019-10-31,1.57
2019-11-01,1.55
2019-11-04,1.57
2019-11-05,1.58
2019-11-06,1.57
2019-11-07,1.58
2019-11-08,1.58
2019-11-11,.
2019-11-12,1.59
2019-11-13,1.59
2019-11-14,1.58
2019-11-15,1.59
2019-11-18,1.58
2019-11-19,1.58
2019-11-20,1.58
2019-11-21,1.59
2019-11-22,1.59
2019-11-25,1.61
2019-11-26,1.62
2019-11-27,1.63
2019-11-28,.
2019-11-29,1.63
2019-12-02,1.62
2019-12-03,1.57
2019-12-04,1.56
2019-12-05,1.55
2019-12-06,1.56
2019-12-09,1.58
2019-12-10,1.57
2019-12-11,1.58
2019-12-12,1.57
2019-12-13,1.56
2019-12-16,1.58
2019-12-17,1.58
2019-12-18,1.58
2019-12-19,1.57
2019-12-20,1.58
2019-12-23,1.60
2019-12-24,1.61
2019-12-25,.
2019-12-26,1.61
2019-12-27,1.59
2019-12-30,1.60
2019-12-31,1.60
2020-01-01,.
2020-01-02,1.57
2020-01-03,1.55
2020-01-06,1.56
2020-01-07,1.56
2020-01-08,1.56
2020-01-09,1.56
2020-01-10,1.55
2020-01-13,1.57
2020-01-14,1.57
2020-01-15,1.58
2020-01-16,1.56
2020-01-17,1.57
2020-01-20,.
2020-01-21,1.57
2020-01-22,1.56
2020-01-23,1.56
2020-01-24,1.55
2020-01-27,1.57
2020-01-28,1.58
2020-01-29,1.57
2020-01-30,1.57
2020-01-31,1.54
2020-02-03,1.56
2020-02-04,1.57
2020-02-05,1.57
2020-02-06,1.58
2020-02-07,1.57
2020-02-10,1.58
2020-02-11,1.55
2020-02-12,1.56
2020-02-13,1.56
2020-02-14,1.56
2020-02-17,.
2020-02-18,1.56
2020-02-19,1.56
2020-02-20,1.55
2020-02-21,1.53
2020-02-24,1.49
2020-02-25,1.47
2020-02-26,1.42
2020-02-27,1.33
2020-02-28,1.11
2020-03-02,0.95
2020-03-03,0.83
2020-03-04,0.68
2020-03-05,0.53
2020-03-06,0.41
2020-03-09,0.27
2020-03-10,0.43
2020-03-11,0.40
2020-03-12,0.37
2020-03-13,0.38
2020-03-16,0.29
2020-03-17,0.24
2020-03-18,0.08
2020-03-19,0.06
2020-03-20,0.05
2020-03-23,0.08
2020-03-24,0.09
2020-03-25,0.07
2020-03-26,0.04
2020-03-27,0.02
2020-03-30,0.12
2020-03-31,0.15
2020-04-01,0.14
2020-04-02,0.15
2020-04-03,0.15
2020-04-06,0.17
2020-04-07,0.20
2020-04-08,0.24
2020-04-09,0.24
2020-04-10,.
2020-04-13,0.27
2020-04-14,0.24
2020-04-15,0.19
2020-04-16,0.18
2020-04-17,0.16
2020-04-20,0.15
2020-04-21,0.14
2020-04-22,0.14
2020-04-23,0.14
2020-04-24,0.14
2020-04-27,0.15
2020-04-28,0.13
2020-04-29,0.12
2020-04-30,0.11
2020-05-01,0.12
2020-05-04,0.14
2020-05-05,0.15
2020-05-06,0.16
2020-05-07,0.14
2020-05-08,0.15
2020-05-11,0.16
2020-05-12,0.16
2020-05-13,0.15
2020-05-14,0.15
2020-05-15,0.15
2020-05-18,0.15
2020-05-19,0.15
2020-05-20,0.14
2020-05-21,0.14
2020-05-22,0.16
2020-05-25,.
2020-05-26,0.17
2020-05-27,0.17
2020-05-28,0.18
2020-05-29,0.18
2020-06-01,0.18
2020-06-02,0.18
2020-06-03,0.19
2020-06-04,0.18
2020-06-05,0.18
2020-06-08,0.19
2020-06-09,0.19
2020-06-10,0.19
2020-06-11,0.18
2020-06-12,0.18
2020-06-15,0.19
2020-06-16,0.19
2020-06-17,0.18
2020-06-18,0.17
2020-06-19,0.17
2020-06-22,0.18
2020-06-23,0.17
2020-06-24,0.17
2020-06-25,0.17
2020-06-26,0.17
2020-06-29,0.18
2020-06-30,0.18
2020-07-01,0.17
2020-07-02,0.16
2020-07-03,.
2020-07-06,0.16
2020-07-07,0.17
2020-07-08,0.17
2020-07-09,0.16
2020-07-10,0.15
2020-07-13,0.15
2020-07-14,0.14
2020-07-15,0.15
2020-07-16,0.13
2020-07-17,0.13
2020-07-20,0.14
2020-07-21,0.13
2020-07-22,0.14
2020-07-23,0.13
2020-07-24,0.14
2020-07-27,0.14
2020-07-28,0.12
2020-07-29,0.12
2020-07-30,0.11
